REPORT_LINE_NO|REPORT_SECTION_NO|REPORT_SECTION|REPORT_LEVEL|REPORT_LINE_LABEL|REPORT_RESULT_LABEL
0|0|SECTION|FILE|File:|
1|1|ROWS_IN|FILE||Rows In
2|1|ROWS_OUT|FILE||Rows Out
3|1|ROWS_REJECTED|FILE||Rows Rejected
4|1|ROWS_TRANSFORMED|FILE||Rows Transformed
5|1|ROWS_NOT_TRANSFORMED|FILE||Rows Not Transformed
6|1|ROWS_NOT_OUT|FILE||Rows Not Output
7|2|SECTION|FILE|Row Types:|
8|3|SECTION|ROW_TYPE|Rows:|
9|4|ROWS_IN|ROW_TYPE||Rows In
10|4|ROWS_OUT|ROW_TYPE||Rows Out
11|4|ROWS_REJECTED|ROW_TYPE||Rows Rejected
12|4|ROWS_TRANSFORMED|ROW_TYPE||Rows Transformed
13|5|SECTION|ROW_TYPE|Row details:|
14|6|FIELDS_IN|ROW_TYPE||Fields In
15|6|FIELDS_OUT|ROW_TYPE||Fields Out
16|6|TRANSFORMS|ROW_TYPE||Transformations
17|7|SECTION|ROW_TYPE|Exceptions categories:|
18|8|EX_INV_SRUCT|ROW_TYPE||Invalid structure
19|8|EX_INV_TRANSFORM|ROW_TYPE||Invalid transformation
20|8|EX_INV_DATA|ROW_TYPE||Invalid data
21|8|EX_MISSING_DATA|ROW_TYPE||Missing data
